SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
2,3,1555,4414,V=042,S=0459,VL
2,3,1555,4963,V=045,S=0288,VL
2,3,1555,5218,V=043,S=0491,VL
2,3,1556,471,V=041,S=0452,VL
2,3,1556,1344,V=034,S=0445,VL
2,3,1556,1588,V=034,S=0427,VL
2,3,1556,3249,V=027,S=0448,VL
2,3,1556,3382,V=028,S=0450,VL
2,3,1556,3656,V=030,S=0426,VL
2,3,1557,219,V=036,S=0437,VL
2,3,1557,655,V=038,S=0421,VL
2,3,1557,1310,V=041,S=0435,VL
2,3,1557,1742,V=039,S=0393,VL
2,3,1557,2011,V=036,S=0430,VL
2,3,1557,2265,V=040,S=0413,VL
2,3,1557,2386,V=041,S=0390,VL
2,3,1557,3231,V=037,S=0434,VL
2,3,1557,5952,V=033,S=0683,VL
2,3,1558,1134,V=033,S=0395,VL
2,3,1558,1957,V=032,S=0455,VL
2,3,1558,2145,V=033,S=0370,VL
2,3,1558,2407,V=031,S=0339,VL
2,3,1558,2567,V=031,S=0476,VL
2,3,1558,3751,V=047,S=0416,VL
2,3,1559,440,V=034,S=0543,VL
2,3,1559,697,V=031,S=0509,VL
2,3,1559,1769,V=032,S=0465,VL
2,3,1559,1898,V=033,S=0462,VL
2,3,1559,2264,V=033,S=0486,VL
2,3,1559,3049,V=038,S=0395,VL
2,3,1559,3581,V=038,S=0455,VL
2,3,1559,4598,V=040,S=0342,VL
2,3,1559,5004,V=041,S=0426,VL
2,3,1600,1581,V=032,S=0513,VL
2,3,1600,1763,V=037,S=0428,VL
2,3,1600,1847,V=041,S=0481,VL
2,3,1600,1938,V=043,S=0411,VL
2,3,1600,2307,V=043,S=0537,VL
2,3,1600,2721,V=038,S=0434,VL
2,3,1600,2973,V=039,S=0453,VL
2,3,1600,3401,V=040,S=0469,VL
2,3,1600,3606,V=039,S=0485,VL
2,3,1600,3893,V=041,S=0425,VL
2,3,1600,4261,V=035,S=0312,VL
2,3,1600,5939,V=037,S=0434,VL
2,3,1601,171,V=038,S=0415,VL
2,3,1601,335,V=035,S=0460,VL
2,3,1601,953,V=035,S=0410,VL
2,3,1601,1185,V=035,S=0386,VL
2,3,1601,1541,V=036,S=0377,VL
2,3,1601,1644,V=036,S=0445,VL
2,3,1601,3806,V=037,S=0491,VL
2,3,1601,3975,V=035,S=0432,VL
2,3,1602,611,V=042,S=0389,VL
2,3,1602,1728,V=037,S=0289,VL
2,3,1602,2080,V=038,S=0436,VL
2,3,1602,2384,V=040,S=0445,VL
2,3,1602,3794,V=037,S=0440,VL
2,3,1602,4168,V=034,S=0456,VL
2,3,1602,4382,V=031,S=0504,VL
2,3,1602,4539,V=033,S=0451,VL
2,3,1602,5966,V=029,S=0422,VL
2,3,1603,220,V=041,S=0549,VL
2,3,1603,457,V=045,S=0451,VL
2,3,1603,5731,V=038,S=0452,VL
2,3,1604,1116,V=037,S=0394,VL
2,3,1604,1291,V=037,S=0417,VL
2,3,1604,1507,V=036,S=0469,VL
2,3,1604,1872,V=035,S=0468,VL
2,3,1604,3023,V=033,S=0484,VL
2,3,1604,3357,V=028,S=0526,VL
2,3,1604,4181,V=043,S=0441,VL
2,3,1604,4906,V=048,S=0425,VL
2,3,1605,897,V=030,S=0353,VL
2,3,1605,925,V=030,S=0171,2R
2,3,1605,1884,V=034,S=0434,VL
2,3,1605,3169,V=039,S=0455,VL
2,3,1605,3245,V=041,S=0212,VL
2,3,1605,3455,V=038,S=0427,VL
2,3,1605,5004,V=042,S=0410,VL
2,3,1606,383,V=040,S=0444,VL
2,3,1606,1132,V=050,S=0412,VL
2,3,1606,2683,V=043,S=0431,VL
2,3,1606,3743,V=046,S=0478,VL
2,3,1606,3959,V=044,S=0465,VL
2,3,1606,4997,V=040,S=0182,2R
2,3,1606,5625,V=042,S=0453,VL
2,3,1607,4508,V=042,S=0453,VL
2,3,1607,4727,V=039,S=0457,VL
2,3,1607,5517,V=039,S=0466,VL
2,3,1607,5759,V=038,S=0473,VL
2,3,1608,118,V=037,S=0414,VL
2,3,1608,1525,V=033,S=0410,VL
2,3,1608,1943,V=048,S=0294,VL
2,3,1608,3070,V=039,S=0430,VL
2,3,1608,5472,V=028,S=0484,VL
2,3,1608,5992,V=023,S=0428,VL
2,3,1609,224,V=027,S=0405,VL
2,3,1609,1771,V=039,S=0383,VL
2,3,1609,3486,V=041,S=0503,VL
2,3,1609,4131,V=039,S=0461,VL
2,3,1610,1529,V=030,S=0444,VL
2,3,1610,1814,V=031,S=0417,VL
2,3,1610,2107,V=032,S=0405,VL
2,3,1610,2367,V=042,S=0833,PL
2,3,1610,2495,V=039,S=1252,PL
2,3,1610,2846,V=037,S=0438,VL
2,3,1610,3167,V=035,S=0609,VL
2,3,1610,4292,V=036,S=0460,VL
2,3,1610,5121,V=050,S=0433,VL
2,3,1611,233,V=045,S=0372,VL
2,3,1611,1145,V=040,S=0388,VL
2,3,1611,3614,V=040,S=0385,VL
2,3,1611,3823,V=035,S=0408,VL
2,3,1611,5473,V=048,S=0449,VL
2,3,1612,1056,V=033,S=0445,VL
2,3,1612,1456,V=042,S=0377,VL
2,3,1612,2210,V=036,S=0454,VL
2,3,1612,4396,V=029,S=0527,VL
2,3,1612,5340,V=034,S=0200,VL
2,3,1612,5453,V=033,S=0453,VL
2,3,1613,1103,V=042,S=0505,VL
2,3,1613,1870,V=043,S=0540,VL
2,3,1613,2405,V=043,S=0668,VL
2,3,1613,2645,V=039,S=0417,VL
2,3,1613,3183,V=044,S=0421,VL
2,3,1613,4648,V=035,S=2962,PL
2,3,1613,5551,V=063,S=0535,VL
2,3,1613,5879,V=051,S=0213,VL
2,3,1614,1369,V=042,S=0440,VL
2,3,1614,1826,V=044,S=0404,VL
2,3,1614,2232,V=036,S=0386,VL
2,3,1614,3113,V=035,S=0552,VL
2,3,1614,3252,V=039,S=0208,VL
2,3,1614,4162,V=021,S=0473,VL
2,3,1614,5660,V=042,S=0434,VL
2,3,1614,5912,V=046,S=0436,VL
2,3,1615,704,V=050,S=0509,VL
2,3,1615,2628,V=038,S=0490,VL
2,3,1615,3081,V=035,S=0537,VL
2,3,1615,3562,V=042,S=0438,VL
2,3,1615,3870,V=038,S=0432,VL
2,3,1616,616,V=045,S=0437,VL
2,3,1616,874,V=041,S=0440,VL
2,3,1616,1532,V=046,S=0450,VL
2,3,1616,1738,V=046,S=0420,VL
2,3,1616,2255,V=038,S=0478,VL
2,3,1616,4356,V=038,S=0336,VL
2,3,1616,4949,V=045,S=0383,VL
2,3,1616,5361,V=040,S=0428,VL
2,3,1616,5956,V=041,S=0496,VL
2,3,1617,189,V=037,S=0444,VL
2,3,1617,578,V=041,S=0454,VL
2,3,1617,738,V=036,S=0432,VL
2,3,1617,1132,V=036,S=0422,VL
2,3,1617,2006,V=040,S=0197,2R
2,3,1617,2073,V=044,S=0247,VL
2,3,1617,2330,V=039,S=0237,VL
2,3,1617,2798,V=036,S=0392,VL
2,3,1617,2979,V=037,S=0465,VL
