ID,Catégorie,Horodate,Entrant,Sortant
100605,VELO,2022/10/04 13:39:03.504,x,
100617,VL,2022/10/04 13:40:07.239,x,
1352,VELO,2022/10/04 13:40:47.038,x,
100620,VL,2022/10/04 13:40:57.770,x,
100621,VL,2022/10/04 13:41:25.573,x,
100623,VELO,2022/10/04 13:41:36.304,x,
100633,VELO,2022/10/04 13:41:53.171,x,
100634,VELO,2022/10/04 13:42:12.104,x,
1391,VELO,2022/10/04 13:43:14.505,x,
100660,VL,2022/10/04 13:43:59.170,x,
100663,VL,2022/10/04 13:44:13.772,x,
100665,VL,2022/10/04 13:44:43.303,x,
100666,VL,2022/10/04 13:44:46.970,x,
100669,VELO,2022/10/04 13:45:00.837,x,
1428,VELO,2022/10/04 13:45:07.570,,x
1433,VELO,2022/10/04 13:45:08.503,x,
1438,VELO,2022/10/04 13:45:29.304,,x
100679,VELO,2022/10/04 13:45:37.370,x,
1460,VL,2022/10/04 13:46:11.502,,x
100697,VL,2022/10/04 13:46:30.636,x,
100702,UT,2022/10/04 13:46:38.903,x,
100709,VELO,2022/10/04 13:46:52.970,x,
1475,VELO,2022/10/04 13:46:53.903,x,
100714,VELO,2022/10/04 13:47:02.933,x,
100715,VELO,2022/10/04 13:47:04.367,x,
100724,VELO,2022/10/04 13:47:29.303,x,
100727,VELO,2022/10/04 13:47:33.035,x,
100729,VELO,2022/10/04 13:47:38.037,x,
1504,VELO,2022/10/04 13:47:40.068,,x
1515,VELO,2022/10/04 13:47:41.800,,x
100734,VL,2022/10/04 13:48:01.234,x,
100736,MOTO,2022/10/04 13:48:09.800,x,
100741,VELO,2022/10/04 13:48:18.200,x,
100744,VL,2022/10/04 13:48:19.833,x,
100747,VL,2022/10/04 13:48:22.268,x,
100753,VELO,2022/10/04 13:48:36.536,x,
1538,VELO,2022/10/04 13:48:47.934,x,
100757,VELO,2022/10/04 13:48:53.467,x,
1546,VELO,2022/10/04 13:48:59.866,x,
100765,VL,2022/10/04 13:49:09.036,x,
1547,VL,2022/10/04 13:49:11.170,,x
100767,VL,2022/10/04 13:49:14.001,x,
1552,VL,2022/10/04 13:49:23.202,,x
100775,VL,2022/10/04 13:49:46.298,x,
100776,VELO,2022/10/04 13:49:50.632,x,
1557,VELO,2022/10/04 13:49:58.033,x,
1558,VELO,2022/10/04 13:50:13.299,x,
100788,VL,2022/10/04 13:50:20.365,x,
100804,VELO,2022/10/04 13:51:39.898,x,
100807,EDPM,2022/10/04 13:51:40.833,x,
100809,VELO,2022/10/04 13:51:48.832,x,
100810,VELO,2022/10/04 13:52:10.764,x,
100816,VL,2022/10/04 13:52:23.298,x,
100817,VL,2022/10/04 13:52:26.031,x,
1617,VELO,2022/10/04 13:52:29.965,,x
1619,VELO,2022/10/04 13:52:38.031,x,
100823,EDPM,2022/10/04 13:52:41.764,x,
100824,VELO,2022/10/04 13:52:42.031,x,
100828,VELO,2022/10/04 13:52:45.632,x,
1638,VELO,2022/10/04 13:53:14.631,,x
1645,VELO,2022/10/04 13:53:22.965,x,
100830,VL,2022/10/04 13:53:25.534,x,
100833,VELO,2022/10/04 13:53:32.164,x,
100839,VELO,2022/10/04 13:53:35.031,x,
100843,VL,2022/10/04 13:53:50.764,x,
100844,VL,2022/10/04 13:53:52.965,x,
100845,VL,2022/10/04 13:53:56.400,x,
100859,VELO,2022/10/04 13:54:25.495,x,
100866,VELO,2022/10/04 13:54:41.097,x,
1675,MOTO,2022/10/04 13:54:47.562,,x
100871,VELO,2022/10/04 13:54:53.096,x,
1684,VELO,2022/10/04 13:54:55.964,,x
1679,VL,2022/10/04 13:54:56.030,,x
100872,VL,2022/10/04 13:55:17.028,x,
1688,VELO,2022/10/04 13:55:17.495,,x
100875,VELO,2022/10/04 13:55:18.828,x,
100880,VELO,2022/10/04 13:55:30.497,x,
100886,VL,2022/10/04 13:55:49.766,x,
100887,VL,2022/10/04 13:55:53.467,x,
100888,VL,2022/10/04 13:55:57.799,x,
1730,VL,2022/10/04 13:55:59.733,,x
100890,UT,2022/10/04 13:56:02.866,x,
100892,VELO,2022/10/04 13:56:19.366,x,
1753,VELO,2022/10/04 13:56:57.229,,x
100901,VELO,2022/10/04 13:57:24.230,x,
100902,VELO,2022/10/04 13:57:24.363,x,
1768,VELO,2022/10/04 13:57:25.296,x,
100909,VELO,2022/10/04 13:57:27.497,x,
100927,VELO,2022/10/04 13:57:54.429,x,
1794,VELO,2022/10/04 13:58:52.963,x,
100934,VELO,2022/10/04 13:58:54.696,x,
100961,VELO,2022/10/04 13:59:43.429,x,
1818,VELO,2022/10/04 13:59:58.296,,x
100965,VL,2022/10/04 14:00:02.696,x,
1820,VELO,2022/10/04 14:00:32.696,x,
100966,VL,2022/10/04 14:00:43.630,x,
100967,VELO,2022/10/04 14:01:11.094,x,
1822,VELO,2022/10/04 14:01:14.894,x,
100972,VL,2022/10/04 14:01:23.628,x,
100975,VELO,2022/10/04 14:01:52.026,x,
1840,UT,2022/10/04 14:02:59.029,,x
100984,VELO,2022/10/04 14:03:33.227,x,
1850,VELO,2022/10/04 14:03:54.761,,x
1853,VELO,2022/10/04 14:04:13.495,,x
1854,MOTO,2022/10/04 14:04:55.158,,x
1855,VL,2022/10/04 14:04:56.826,,x
100990,VL,2022/10/04 14:05:43.624,x,
1858,VELO,2022/10/04 14:06:09.289,,x
1859,VELO,2022/10/04 14:06:59.558,x,
1861,VELO,2022/10/04 14:07:11.091,x,
100996,VL,2022/10/04 14:07:24.424,x,
1871,VL,2022/10/04 14:07:59.957,,x
1872,MOTO,2022/10/04 14:08:42.424,,x
101002,VELO,2022/10/04 14:09:09.624,x,
1878,VL,2022/10/04 14:09:16.955,,x
101004,VELO,2022/10/04 14:09:46.691,x,
101011,VELO,2022/10/04 14:11:25.755,x,
101012,VL,2022/10/04 14:11:59.487,x,
101014,VELO,2022/10/04 14:12:01.688,x,
101015,VELO,2022/10/04 14:12:01.888,x,
101019,VELO,2022/10/04 14:12:36.755,x,
1900,VELO,2022/10/04 14:12:53.688,,x
1920,VELO,2022/10/04 14:16:20.550,,x
101042,VELO,2022/10/04 14:16:25.618,x,
101044,VL,2022/10/04 14:16:31.151,x,
101058,VL,2022/10/04 14:19:54.218,x,
1935,VL,2022/10/04 14:21:02.884,,x
1936,VELO,2022/10/04 14:21:25.149,x,
101059,VELO,2022/10/04 14:22:41.950,x,
