SENS,JOUR,HEURE/MINUTE,SECONDE/CENTIEME,VITESSE,SER,TYPE
1,3,1557,3707,V=042,S=0576,VL
1,3,1557,4030,V=042,S=0518,VL
1,3,1557,4154,V=040,S=0455,VL
1,3,1558,924,V=043,S=0278,VL
1,3,1558,1361,V=047,S=0478,VL
1,3,1558,2552,V=037,S=0498,VL
1,3,1558,2910,V=031,S=0472,VL
1,3,1558,3031,V=033,S=0477,VL
1,3,1559,269,V=042,S=0538,VL
1,3,1559,679,V=042,S=0419,VL
1,3,1559,849,V=042,S=0495,VL
1,3,1559,1122,V=039,S=0610,VL
1,3,1559,2435,V=045,S=0495,VL
1,3,1559,2655,V=049,S=0496,VL
1,3,1559,3925,V=049,S=0610,VL
1,3,1559,4358,V=046,S=0518,VL
1,3,1559,4657,V=051,S=0860,VL
1,3,1559,5192,V=037,S=0553,VL
1,3,1600,292,V=045,S=0489,VL
1,3,1600,1332,V=042,S=0499,VL
1,3,1600,4301,V=054,S=0534,VL
1,3,1601,179,V=044,S=0476,VL
1,3,1601,489,V=044,S=0664,VL
1,3,1601,1225,V=042,S=0861,VL
1,3,1601,2134,V=036,S=0459,VL
1,3,1601,2428,V=043,S=0389,VL
1,3,1601,2845,V=051,S=0607,VL
1,3,1601,2976,V=053,S=0442,VL
1,3,1602,105,V=042,S=0457,VL
1,3,1602,259,V=042,S=0526,VL
1,3,1602,454,V=041,S=0578,VL
1,3,1602,1341,V=039,S=0448,VL
1,3,1602,1553,V=037,S=0550,VL
1,3,1602,1832,V=040,S=0547,VL
1,3,1602,2562,V=039,S=0508,VL
1,3,1602,2721,V=040,S=0552,VL
1,3,1602,2883,V=042,S=0581,VL
1,3,1602,3327,V=034,S=0546,VL
1,3,1602,3549,V=036,S=0875,VL
1,3,1602,3966,V=037,S=0529,VL
1,3,1602,5071,V=045,S=0701,VL
1,3,1602,5372,V=042,S=0369,VL
1,3,1602,5582,V=041,S=0487,VL
1,3,1602,5786,V=041,S=0529,VL
1,3,1603,1330,V=043,S=0491,VL
1,3,1603,3339,V=040,S=0683,VL
1,3,1603,3705,V=039,S=0420,VL
1,3,1603,3841,V=043,S=0482,VL
1,3,1603,4634,V=044,S=0489,VL
1,3,1604,244,V=043,S=0840,VL
1,3,1604,967,V=039,S=0476,VL
1,3,1605,723,V=048,S=0489,VL
1,3,1605,1142,V=048,S=0210,VL
1,3,1605,4305,V=030,S=1459,PL
1,3,1605,4581,V=030,S=0455,VL
1,3,1605,4606,V=031,S=0176,VL
1,3,1605,4850,V=032,S=0637,VL
1,3,1605,5000,V=031,S=0403,VL
1,3,1605,5477,V=031,S=0579,VL
1,3,1605,5642,V=031,S=0521,VL
1,3,1605,5810,V=029,S=0465,VL
1,3,1605,5956,V=026,S=0444,VL
1,3,1606,1666,V=053,S=0504,VL
1,3,1606,1939,V=053,S=0436,VL
1,3,1607,1074,V=037,S=0558,VL
1,3,1607,3351,V=043,S=0506,VL
1,3,1607,3529,V=044,S=0582,VL
1,3,1607,3719,V=035,S=0459,VL
1,3,1607,5292,V=039,S=0430,VL
1,3,1607,5555,V=039,S=0495,VL
1,3,1608,125,V=047,S=0822,VL
1,3,1608,1662,V=047,S=0524,VL
1,3,1608,1861,V=047,S=0485,VL
1,3,1608,2034,V=049,S=0531,VL
1,3,1608,5491,V=045,S=0521,VL
1,3,1609,269,V=045,S=0506,VL
1,3,1609,651,V=026,S=0484,VL
1,3,1609,927,V=017,S=0400,VL
