ID,Catégorie,Horodate,détection de départ,détection de sortie,REMARQUE
9382,VL,2022/10/07 07:28:05.197,E,S2,
9407,VL,2022/10/07 07:29:07.199,E,S2,
9438,VL,2022/10/07 07:29:42.432,S2,E,
9546,VL,2022/10/07 07:32:31.564,E,S2,
9575,VL,2022/10/07 07:32:45.565,S2,E,
9581,VELO,2022/10/07 07:32:47.698,E,S2,
9580,VL,2022/10/07 07:32:47.698,E,S3,
9592,VL,2022/10/07 07:34:04.699,E,S2,
9593,VL,2022/10/07 07:34:09.062,E,S2,
9597,VL,2022/10/07 07:34:14.430,E,S2,
9599,VL,2022/10/07 07:34:17.963,E,S2,
9611,VL,2022/10/07 07:36:13.697,E,S2,
9615,VL,2022/10/07 07:36:36.563,E,S2,
9619,PL_1,2022/10/07 07:36:50.563,S2,S1,
9620,VL,2022/10/07 07:36:51.563,E,S2,
9624,UT,2022/10/07 07:37:13.530,S1,S2,
9636,VL,2022/10/07 07:37:42.563,E,S3,
9639,VL,2022/10/07 07:37:49.330,E,S2,
9656,VELO,2022/10/07 07:38:14.063,E,S2,
9685,VL,2022/10/07 07:39:02.965,E,S2,
9712,VL,2022/10/07 07:39:50.330,E,S2,
9715,VL,2022/10/07 07:39:56.062,E,S2,
9726,VL,2022/10/07 07:40:31.863,E,S2,
9737,VL,2022/10/07 07:40:51.566,E,S2,
9741,MOTO,2022/10/07 07:41:10.697,E,S2,
9749,VL,2022/10/07 07:41:20.430,E,S2,
9761,UT,2022/10/07 07:41:51.197,S2,E,
9763,VL,2022/10/07 07:41:55.430,S2,E,
9792,PL_1,2022/10/07 07:42:57.046,E,S1,
9807,MOTO,2022/10/07 07:43:13.329,E,S2,
9817,VL,2022/10/07 07:44:25.631,E,S2,
9820,MOTO,2022/10/07 07:44:41.498,E,S2,
9823,VL,2022/10/07 07:44:59.498,S2,E,
9827,VL,2022/10/07 07:45:09.000,E,S2,
9839,VELO,2022/10/07 07:45:44.182,S2,E,
9852,MOTO,2022/10/07 07:46:41.182,E,S2,
9855,VELO,2022/10/07 07:47:38.147,E,S2,
9874,VL,2022/10/07 07:48:10.697,E,S1,
9878,VELO,2022/10/07 07:48:31.096,E,S2,
9881,VL,2022/10/07 07:48:40.230,E,S2,
9884,VL,2022/10/07 07:48:47.096,E,S2,
9889,VL,2022/10/07 07:49:08.863,E,S2,
9894,VELO,2022/10/07 07:49:24.146,E,S2,
9898,VELO,2022/10/07 07:49:28.013,E,S2,
9900,VL,2022/10/07 07:49:30.013,E,S2,
