Jour,Heure,Seconde,Centième,Vitesse,Type Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
16/10/22,10:28,31,68,56,VL,1,256,,,,
16/10/22,10:29,52,94,46,VL,1,270,,,,
16/10/22,10:31,55,57,39,2RM,13,115,,,,
16/10/22,10:34,11,64,42,VL,1,231,,,,
16/10/22,10:34,18,38,46,VL,1,268,,,,
16/10/22,10:35,1,38,29,VL,1,243,,,,
16/10/22,10:35,24,74,45,VL,1,231,,,,
16/10/22,10:37,14,48,45,VL,1,257,,,,
16/10/22,10:37,29,78,43,Bus articul�,14,518,685,,,
16/10/22,10:38,14,58,51,VL,1,255,,,,
16/10/22,10:39,35,17,58,VL,1,258,,,,
16/10/22,10:40,17,30,52,VL,1,283,,,,
16/10/22,10:41,15,7,43,VL,1,280,,,,
16/10/22,10:41,54,40,64,VL,1,255,,,,
16/10/22,10:42,55,50,41,VL,1,232,,,,
16/10/22,10:44,26,89,55,VL,1,259,,,,
16/10/22,10:44,31,84,50,VL,1,243,,,,
16/10/22,10:47,29,64,58,VL,1,254,,,,
16/10/22,10:47,45,76,69,VL,1,244,,,,
16/10/22,10:49,1,55,54,VL,1,255,,,,
16/10/22,10:50,31,18,45,VL,1,256,,,,
16/10/22,10:51,15,59,54,VL,1,269,,,,
16/10/22,10:52,28,95,55,VL,1,284,,,,
16/10/22,10:53,43,5,49,VL,1,268,,,,
16/10/22,10:56,12,66,43,VL,1,255,,,,
16/10/22,10:57,38,26,47,VL,1,258,,,,
16/10/22,10:58,49,11,42,VL,1,269,,,,
16/10/22,11:1,41,53,47,VL,1,346,,,,
16/10/22,11:3,17,97,34,VL,1,231,,,,
16/10/22,11:4,44,69,39,VL,1,270,,,,
16/10/22,11:4,46,28,37,VL,1,296,,,,
16/10/22,11:4,58,74,51,VL,1,245,,,,
16/10/22,11:5,52,54,49,VL,1,271,,,,
16/10/22,11:5,54,19,47,VL,1,245,,,,
16/10/22,11:7,8,22,45,VL,1,258,,,,
16/10/22,11:7,48,70,49,VL,1,256,,,,
16/10/22,11:7,51,20,44,VL,1,258,,,,
16/10/22,11:8,27,16,40,VL,1,242,,,,
16/10/22,11:8,53,70,44,VL,1,244,,,,
16/10/22,11:9,14,43,48,VL,1,256,,,,
16/10/22,11:10,34,81,49,VL,1,284,,,,
16/10/22,11:11,20,93,45,VL,1,256,,,,
16/10/22,11:11,58,30,49,VL,1,231,,,,
16/10/22,11:14,39,81,49,VL,1,258,,,,
16/10/22,11:14,45,7,52,VL,1,244,,,,
16/10/22,11:16,28,65,50,VL,1,270,,,,
16/10/22,11:17,2,39,44,VL,1,255,,,,
16/10/22,11:18,50,9,39,VL,1,255,,,,
16/10/22,11:18,53,6,51,VL,1,242,,,,
16/10/22,11:19,12,55,54,VL,1,233,,,,
16/10/22,11:20,8,16,53,VL,1,295,,,,
16/10/22,11:21,20,58,27,Trottinette,13,77,,,,
16/10/22,11:21,59,82,45,VL,1,256,,,,
16/10/22,11:22,54,98,48,VL,1,270,,,,
16/10/22,11:23,26,72,39,VL,1,257,,,,
16/10/22,11:23,31,42,45,VL,1,281,,,,
16/10/22,11:24,29,91,49,VL,1,268,,,,
16/10/22,11:27,50,4,44,VL,1,244,,,,
16/10/22,11:29,44,10,45,VL,1,230,,,,
16/10/22,11:32,11,66,47,VL,1,257,,,,
16/10/22,11:33,3,4,88,2RM,13,153,,,,
16/10/22,11:33,31,30,52,VL,1,360,,,,
16/10/22,11:34,37,94,48,VL,1,257,,,,
16/10/22,11:34,46,67,47,VL,1,257,,,,
16/10/22,11:37,0,86,49,VL,1,231,,,,
16/10/22,11:37,5,85,51,VL,1,282,,,,
16/10/22,11:37,14,57,52,Bus articul�,14,517,686,,,
16/10/22,11:38,3,48,42,VL,1,256,,,,
16/10/22,11:39,45,44,36,VL,1,242,,,,
16/10/22,11:39,47,21,37,VL,1,269,,,,
16/10/22,11:41,1,17,47,VL,1,255,,,,
16/10/22,11:41,57,72,45,VL,1,244,,,,
16/10/22,11:42,2,30,44,VL,1,257,,,,
16/10/22,11:42,4,19,41,VL,1,268,,,,
16/10/22,11:42,16,19,46,VL,1,257,,,,
16/10/22,11:42,27,26,39,VL,1,230,,,,
16/10/22,11:44,17,41,46,VL,1,256,,,,
16/10/22,11:44,52,72,46,VL,1,257,,,,
16/10/22,11:46,51,83,44,VL,1,269,,,,
16/10/22,11:47,26,71,51,VL,1,254,,,,
16/10/22,11:48,18,4,44,VL,1,257,,,,
16/10/22,11:49,27,96,40,VL,1,270,,,,
16/10/22,11:49,29,85,41,VL,1,258,,,,
16/10/22,11:50,7,34,49,VL,1,243,,,,
16/10/22,11:50,57,4,47,VL,1,244,,,,
16/10/22,11:53,20,9,48,VL,1,270,,,,
16/10/22,11:55,0,43,46,VL,1,257,,,,
16/10/22,11:55,39,1,35,VL,1,243,,,,
16/10/22,11:55,57,46,39,VL,1,258,,,,
16/10/22,11:57,3,77,45,VL,1,243,,,,
16/10/22,11:58,3,82,56,VL,1,245,,,,
16/10/22,11:58,26,4,43,VL,1,257,,,,
16/10/22,11:58,43,89,56,VL,1,270,,,,
16/10/22,12:0,0,25,46,VL,1,243,,,,
16/10/22,12:0,40,62,55,VL,1,298,,,,
16/10/22,12:4,45,0,43,VL,1,256,,,,
16/10/22,12:5,27,35,48,VL,1,256,,,,
16/10/22,12:7,30,56,39,VL,1,244,,,,
16/10/22,12:7,34,32,40,VL,1,257,,,,
16/10/22,12:10,40,42,44,VL,1,243,,,,
16/10/22,12:11,36,13,38,VL,1,256,,,,
16/10/22,12:12,59,55,46,VL,1,255,,,,
16/10/22,12:16,15,41,54,VL,1,256,,,,
16/10/22,12:16,28,37,41,VL,1,282,,,,
16/10/22,12:18,22,44,56,VL,1,270,,,,
16/10/22,12:18,44,75,49,VL,1,244,,,,
16/10/22,12:19,56,75,49,VL,1,243,,,,
16/10/22,12:20,13,37,49,VL,1,271,,,,
16/10/22,12:21,31,72,52,VL,1,269,,,,
16/10/22,12:22,4,14,52,VL,1,257,,,,
16/10/22,12:22,7,13,50,VL,1,283,,,,
16/10/22,12:23,7,69,44,VL,1,268,,,,
16/10/22,12:26,11,27,43,VL,1,256,,,,
16/10/22,12:26,42,96,32,VL,1,268,,,,
16/10/22,12:27,3,18,55,VL,1,256,,,,
16/10/22,12:28,38,35,42,VL,1,281,,,,
